korean,japanese,pronunciation,category,level
나,私,ナ,代名詞,初級
너,あなた,ノ,代名詞,初級
우리,私たち,ウリ,代名詞,初級
저,私（謙譲語）,チョ,代名詞,初級
당신,あなた（丁寧語）,タンシン,代名詞,初級
그,彼,ク,代名詞,初級
그녀,彼女,クニョ,代名詞,初級
그들,彼ら,クドゥル,代名詞,初級
이것,これ,イゴッ,代名詞,初級
그것,それ,クゴッ,代名詞,初級
저것,あれ,チョゴッ,代名詞,初級
여기,ここ,ヨギ,代名詞,初級
거기,そこ,コギ,代名詞,初級
저기,あそこ,チョギ,代名詞,初級
누구,誰,ヌグ,代名詞,初級
무엇,何,ムオッ,代名詞,初級
언제,いつ,オンジェ,代名詞,初級
어디,どこ,オディ,代名詞,初級
어떻게,どのように,オットッケ,代名詞,初級
왜,なぜ,ウェ,代名詞,初級
하나,1,ハナ,数字,初級
둘,2,トゥル,数字,初級
셋,3,セッ,数字,初級
넷,4,ネッ,数字,初級
다섯,5,タソッ,数字,初級
여섯,6,ヨソッ,数字,初級
일곱,7,イルゴプ,数字,初級
여덟,8,ヨドル,数字,初級
아홉,9,アホプ,数字,初級
열,10,ヨル,数字,初級
스물,20,スムル,数字,초급
서른,30,ソルン,数字,초급
마흔,40,マフン,数字,초급
쉰,50,シン,数字,초급
예순,60,イェスン,数字,초급
일흔,70,イルフン,数字,초급
여든,80,ヨドゥン,数字,초급
아흔,90,アフン,数字,初級
백,100,ベク,数字,初級
천,1000,チョン,数字,初級
만,10000,マン,数字,初級
억,1億,オク,数字,中級
사람,人,サラム,名詞,初級
남자,男性,ナムジャ,名詞,初級
여자,女性,ヨジャ,名詞,初級
아이,子供,アイ,名詞,初級
학생,学生,ハクセン,名詞,初級
선생님,先生,ソンセンニム,名詞,初級
가족,家族,カジョク,名詞,初級
친구,友達,チング,名詞,初級
이름,名前,イルム,名詞,初級
나이,年齢,ナイ,名詞,初級
생일,誕生日,センイル,名詞,初級
취미,趣味,チュィミ,名詞,初級
직업,職業,チコプ,名詞,初級
시간,時間,シガン,名詞,初級
날짜,日付,ナルッチャ,名詞,初級
요일,曜日,ヨイル,名詞,初級
월요일,月曜日,ウォリョイル,名詞,初級
화요일,火曜日,ファヨイル,名詞,初級
수요일,水曜日,スヨイル,名詞,初級
목요일,木曜日,モギョイル,名詞,初級
금요일,金曜日,クミョイル,名詞,初級
토요일,土曜日,トヨイル,名詞,初級
일요일,日曜日,イリョイル,名詞,初級
오늘,今日,オヌル,名詞,初級
내일,明日,ネイル,名詞,初級
어제,昨日,オジェ,名詞,初級
아침,朝,アチム,名詞,初級
점심,昼,チョムシム,名詞,初級
저녁,夜,チョニョク,名詞,初級
밤,夜,パム,名詞,初級
계절,季節,ケジョル,名詞,初級
봄,春,ポム,名詞,初級
여름,夏,ヨルム,名詞,初級
가을,秋,カウル,名詞,初級
겨울,冬,キョウル,名詞,初級
날씨,天気,ナルッシ,名詞,初級
비,雨,ピ,名詞,初級
눈,雪,ヌン,名詞,初級
바람,風,パラム,名詞,初級
구름,雲,クルム,名詞,初級
맑다,晴れている,マクッタ,形容詞,初級
흐리다,曇っている,フリダ,形容詞,初級
덥다,暑い,トプッタ,形容詞,初級
춥다,寒い,チュプッタ,形容詞,初級
시원하다,涼しい,シウォンハダ,形容詞,初級
따뜻하다,暖かい,ッタッドゥタダ,形容詞,初級
색,色,セク,名詞,初級
빨간색,赤,ッパルガンセク,名詞,初級
파란색,青,パランセク,名詞,初級
노란색,黄色,ノランセク,名詞,初級
초록색,緑,チョロクセク,名詞,初級
보라색,紫,ポラセク,名詞,初級
검은색,黒,コムンセク,名詞,初級
흰색,白,フィンセク,名詞,初級
갈색,茶色,カルセク,名詞,初級
주황색,オレンジ,チュファンセク,名詞,初級
분홍색,ピンク,プンホンセク,名詞,初級
회색,灰色,フェセク,名詞,初級
음식,食べ物,ウムシク,名詞,初級
밥,ご飯,パプ,名詞,初級
국,スープ,クク,名詞,初級
반찬,おかず,パンチャン,名詞,初級
김치,キムチ,キムチ,名詞,初級
고기,肉,コギ,名詞,初級
생선,魚,センソン,名詞,初級
야채,野菜,ヤチェ,名詞,初級
과일,果物,クァイル,名詞,初級
빵,パン,ッパン,名詞,初級
라면,ラーメン,ラミョン,名詞,初級
떡,餅,ットク,名詞,初級
케이크,ケーキ,ケイク,名詞,初級
아이스크림,アイスクリーム,アイスクリム,名詞,初級
음료,飲み物,ウムリョ,名詞,初級
물,水,ムル,名詞,初級
커피,コーヒー,コピ,名詞,初級
차,お茶,チャ,名詞,初級
주스,ジュース,チュスー,名詞,初級
우유,牛乳,ウユ,名詞,初級
맥주,ビール,メクチュ,名詞,初級
소주,焼酎,ソジュ,名詞,初級
장소,場所,チャンソ,名詞,初級
집,家,チプ,名詞,初級
학교,学校,ハッキョ,名詞,初級
회사,会社,フェサ,名詞,初級
식당,レストラン,シクタン,名詞,初級
카페,カフェ,カペ,名詞,初級
편의점,コンビニ,ピョニジョム,名詞,初級
마트,スーパー,マトゥ,名詞,初級
백화점,デパート,ペクファジョム,名詞,初級
시장,市場,シジャン,名詞,初級
서점,書店,ソジョム,名詞,初級
영화관,映画館,ヨンファグァン,名詞,初級
공원,公園,コンウォン,名詞,初級
은행,銀行,ウンヘン,名詞,初級
병원,病院,ビョンウォン,名詞,初級
약국,薬局,ヤックク,名詞,初級
우체국,郵便局,ウチェグク,名詞,初級
도서관,図書館,トソグァン,名詞,初級
박물관,博物館,パンムルグァン,名詞,初級
미술관,美術館,ミスルグァン,名詞,初級
화장실,トイレ,ファジャンシル,名詞,初級
호텔,ホテル,ホテル,名詞,初級
공항,空港,コンハン,名詞,初級
역,駅,ヨク,名詞,初級
버스 정류장,バス停,ポス チョンリュジャン,名詞,初級
지하철역,地下鉄駅,チハチョルヨク,名詞,初級
방향,方向,パンヒャン,名詞,初級
오른쪽,右,オルンッチョク,名詞,初級
왼쪽,左,ウェンッチョク,名詞,初級
위,上,ウィ,名詞,初級
아래,下,アレ,名詞,初級
앞,前,アプ,名詞,初級
뒤,後ろ,ドゥィ,名詞,初級
안,中,アン,名詞,初級
밖,外,パク,名詞,初級
옆,横,ヨプ,名詞,初級
가운데,中央,カウンデ,名詞,初級
교통,交通,キョトン,名詞,初級
버스,バス,ポス,名詞,初級
지하철,地下鉄,チハチョル,名詞,初級
택시,タクシー,テクシ,名詞,初級
자동차,車,チャドンチャ,名詞,初級
자전거,自転車,チャジョンゴ,名詞,初級
오토바이,バイク,オトバイ,名詞,初級
비행기,飛行機,ピヘンギ,名詞,初級
배,船,ペ,名詞,初級
기차,電車,キチャ,名詞,初級
표,切符,ピョ,名詞,初級
여행,旅行,ヨヘン,名詞,初級
여권,パスポート,ヨグォン,名詞,初級
가방,カバン,カバン,名詞,初級
짐,荷物,チム,名詞,初級
관광,観光,クァングァン,名詞,初級
기념품,お土産,キニョンプム,名詞,初級
사진,写真,サジン,名詞,初級
카메라,カメラ,カメラ,名詞,初級
지도,地図,チド,名詞,初級
가이드,ガイド,カイドゥ,名詞,初級
여행사,旅行会社,ヨヘンサ,名詞,初級
호텔 예약,ホテル予約,ホテル イェヤク,名詞,初級 
