korean,japanese,pronunciation,category,level
몸,体,モム,身体,初級
머리,頭,モリ,身体,初級
얼굴,顔,オルグル,身体,初級
눈,目,ヌン,身体,初級
코,鼻,コ,身体,初級
입,口,イプ,身体,初級
귀,耳,クィ,身体,初級
목,首,モク,身体,初級
어깨,肩,オッケ,身体,初級
팔,腕,パル,身体,初級
손,手,ソン,身体,初級
손가락,指,ソンガラク,身体,初級
가슴,胸,カスム,身体,初級
배,腹,ペ,身体,初級
등,背中,トゥン,身体,初級
허리,腰,ホリ,身体,初級
엉덩이,お尻,オンドンイ,身体,初級
다리,脚,タリ,身体,初級
무릎,膝,ムルップ,身体,初級
발,足,パル,身体,初級
발가락,足指,パルガラク,身体,初級
건강,健康,コンガン,健康,初級
아프다,痛い,アプダ,健康,初級
병,病気,ビョン,健康,初級
감기,風邪,カムギ,健康,初級
열,熱,ヨル,健康,初級
기침,咳,キチム,健康,初級
약,薬,ヤク,健康,初級
주사,注射,チュサ,健康,初級
수술,手術,ススル,健康,初級
의사,医者,ウィサ,健康,初級
간호사,看護師,カノサ,健康,初級
치과,歯科,チグァ,健康,初級
안과,眼科,アングァ,健康,初級
내과,内科,ネグァ,健康,初級
외과,外科,ウェグァ,健康,初級
피부과,皮膚科,ピブグァ,健康,初級
가다,行く,カダ,動詞,初級
오다,来る,オダ,動詞,初級
먹다,食べる,モクタ,動詞,初級
마시다,飲む,マシダ,動詞,初級
자다,寝る,チャダ,動詞,初級
일어나다,起きる,イロナダ,動詞,初級
앉다,座る,アンタ,動詞,初級
서다,立つ,ソダ,動詞,初級
걷다,歩く,コッタ,動詞,初級
달리다,走る,タルリダ,動詞,初級
뛰다,走る・跳ぶ,ッティダ,動詞,初級
주다,与える,チュダ,動詞,初級
받다,受け取る,パッタ,動詞,初級
만들다,作る,マンドゥルダ,動詞,初級
사다,買う,サダ,動詞,初級
팔다,売る,パルダ,動詞,初級
빌리다,借りる,ピルリダ,動詞,初級
빌려주다,貸す,ピルリョジュダ,動詞,初級
찾다,探す・見つける,チャッタ,動詞,初級
잃어버리다,失くす,イロボリダ,動詞,初級
열다,開ける,ヨルダ,動詞,初級
닫다,閉める,タッタ,動詞,初級
하다,する,ハダ,動詞,初級
되다,なる,デダ,動詞,初級
있다,ある・いる,イッタ,動詞,初級
없다,ない・いない,オプタ,動詞,初級
좋아하다,好き,チョアハダ,動詞,初級
